Article Date,Advisor Name,Stock Name,Company Code,Call,Price on Article Day,Target Price,Today's Price,Time to reach target,Arbitrage %,Today P/L %,Article URL
2024-06-28 12:55:00,Sharekhan,PI Industries,PIIND,Buy,3803.1,4400,4523.6,56,23.50530511424241,26.974681412451595,https://www.moneycontrol.com/news/business/stocks/buy-pi-industries-target-of-rs-4400-sharekhan-12758140.html
2024-06-28 14:54:00,Motilal Oswal,Star Health,STARHEALTH,Buy,520.65,730,547.6,Not reached yet.,36.13053613053613,2.116550116550121,https://www.moneycontrol.com/news/business/stocks/buy-star-health-target-of-rs-730-motilal-oswal-6-12758238.html
2024-07-01 10:59:00,Motilal Oswal,Adani Ports & SEZ,ADANIPORTS,Buy,1485.5,1700,1408.25,Not reached yet.,27.069551892962597,5.2621743842732815,https://www.moneycontrol.com/news/business/earnings/buy-adani-ports-target-of-rs-1700-motilal-oswal-12759423.html
2024-07-01 11:38:00,Motilal Oswal,Kalpataru Projects,KPIL,Buy,1182.7,1385,1320.05,40,17.6620508028205,12.14425282473877,https://www.moneycontrol.com/news/business/earnings/buy-kalpataru-projects-target-of-rs-1385-motilal-oswal-12759424.html
2024-07-01 11:43:00,Prabhudas Lilladher,Bharti Airtel,BHARTIARTL,Accumulate,1475.8,1620,1687.4,83,23.67356286739445,28.818993816321854,https://www.moneycontrol.com/news/business/earnings/accumulate-bharti-airtel-target-of-rs-1620-prabhudas-lilladher-12759425.html
2024-07-01 12:28:00,Sharekhan,Biocon,BIOCON,Buy,346.15,400,346.15,Not reached yet.,28.24623276691248,10.981083680666881,https://www.moneycontrol.com/news/business/earnings/buy-biocon-target-of-rs-400-sharekhan-12759474.html
2024-07-01 12:28:00,Sharekhan,UltraTech Cement,ULTRACEMCO,Buy,11716.7,13000,11421.3,Not reached yet.,35.21806513350183,18.797391331481876,https://www.moneycontrol.com/news/business/earnings/buy-ultratech-cement-target-of-rs-13000-sharekhan-12759473.html
2024-07-02 11:57:00,Profitmart,SRG Housing Finance,SRGHFL,Buy,334.9,411,342.15,Not reached yet.,48.67064568638091,23.76559956592512,https://www.moneycontrol.com/news/business/stocks/buy-srg-housing-finance-target-of-rs-411-profitmart-12760431.html
2024-07-02 12:26:00,ICICI Securities,Star Health and Allied Insurance,STARHEALTH,Buy,558.65,728,547.6,Not reached yet.,32.9194814679569,-0.018258170531316915,https://www.moneycontrol.com/news/business/earnings/buy-star-health-and-allied-insurance-target-of-rs-728-icici-securities-2-12760432.html
2024-07-02 12:26:00,Geojit Financial Services,LT Foods,LTFOODS,Sell,256.24,230,402.2,0,-0.6124234470691189,-75.94050743657043,https://www.moneycontrol.com/news/business/stocks/sell-lt-foods-target-of-rs-230-geojit-financial-services-12760467.html
2024-07-02 14:32:00,Profitmart,Suraj Estate Developers,SURAJEST,Buy,499.5,636,797.4,36,59.97987674506351,100.57854357942395,https://www.moneycontrol.com/news/business/stocks/buy-suraj-estate-developers-target-of-rs-636-profitmart-12760618.html
2024-07-03 10:48:00,Sharekhan,Supreme Industries,SUPREMEIND,Buy,5966.35,6850,5224.4,Not reached yet.,22.043561534007395,-6.919068192953549,https://www.moneycontrol.com/news/business/stocks/buy-supreme-industries-target-of-rs-6850-sharekhan-12761209.html
2024-07-04 10:43:00,ICICI Securities,Solar Industries,SOLARINDS,Buy,11019.1,13250,11318.45,Not reached yet.,47.60270920595314,26.08557615185814,https://www.moneycontrol.com/news/business/stocks/buy-solar-industries-target-of-rs-13250-icici-securities-12762006.html
2024-07-04 10:51:00,ICICI Securities,Indus Tower,INDUSTOWER,Sell,383.8,270,378.5,Not reached yet.,21.72778663574431,-9.72604725322511,https://www.moneycontrol.com/news/business/stocks/sell-indus-tower-target-of-rs-270-icici-securities-2-12762025.html
2024-07-04 11:59:00,Emkay Global Financial,Epigral,EPIGRAL,Buy,1515.95,2000,2227.7,65,56.11583795176022,73.8896261025681,https://www.moneycontrol.com/news/business/stocks/buy-epigral-target-of-rs-2000-emkay-global-financial-12762077.html
