Article Date,Advisor Name,Stock Name,Company Code,Buy/Sell/Hold,Price on Article Day,Target Price,Today's Price,Time to reach target,Article URL
"April 17, 2024",Sharekhan,Indian Hotels,INDHOTEL,buy,584.85,679,597.85,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-indian-hotels-company-targetrs-679-sharekhan_17526501.html
"April 23, 2024",Motilal Oswal,Hind Zinc,HINDZINC,buy,304.2,490,671.15,36,https://m.moneycontrol.com/news/recommendations/neutral-hindustan-zinc-targetrs-490-motilal-oswal_17529971.html
"April 23, 2024",Emkay Global Financial,Tejas Networks,TEJASNET,buy,705.75,1100,1425.3,28,https://m.moneycontrol.com/news/recommendations/buy-tejas-networks-targetrs-1100-emkay-global-financial_17531621.html
"April 08, 2024",ICICI Securities,Star Cement,STARCEMENT,buy,207.55,271,208.98,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-star-cement-targetrs-271-icici-securities_17519041.html
,ICICI Securities,Hatsun Agro,HATSUN,buy,,1190,,,https://m.moneycontrol.com/news/recommendations/buy-hatsun-agro-products-targetrs-1190-icici-securities_.html
,Anand Rathi,Pricol,PRICOLLTD,buy,,495,,,https://m.moneycontrol.com/news/recommendations/buy-pricol-targetrs-495-anand-rathi_.html
,KR Choksey,Bajaj Auto,BAJAJ-AUTO,buy,,10263,,,https://m.moneycontrol.com/news/recommendations/buy-bajaj-auto-targetrs-10263-kr-choksey_.html
"April 16, 2024",Anand Rathi,Patel Eng,PATELENG,buy,68.75,66,61.09,0,https://m.moneycontrol.com/news/recommendations/buy-patel-engineering-targetrs-66-anand-rathi_17525321.html
"April 04, 2024",Motilal Oswal,APL Apollo,APLAPOLLO,buy,1433.15,1800,1539.6,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-apl-apollo-tubes-targetrs-1800-motilal-oswal_17514271.html
,Emkay Global Financial,Infosys,INFY,buy,,1750,,,https://m.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1750-emkay-global-financial_.html
,Anand Rathi,Coal India,COALINDIA,buy,,520,,,https://m.moneycontrol.com/news/recommendations/buy-coal-india-targetrs-520-anand-rathi_.html
"April 19, 2024",Motilal Oswal,Infosys,INFY,buy,1616.45,1650,1708.95,4,https://m.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1650-motilal-oswal_17529051.html
"April 08, 2024",ICICI Securities,Macrotech Dev,LODHA,buy,1135.45,1109,1398.65,0,https://m.moneycontrol.com/news/recommendations/hold-macrotech-developers-targetrs-1109-icici-securities_17518881.html
"April 19, 2024",Motilal Oswal,Angel One,ANGELONE,buy,2736.15,4200,2241.35,Not reached yet.,https://m.moneycontrol.com/news/recommendations/buy-angel-one-targetrs-4200-motilal-oswal_17529041.html
,Emkay Global Financial,HDFC Life,HDFCLIFE,buy,,725,,,https://m.moneycontrol.com/news/recommendations/buy-hdfc-life-insurance-targetrs-725-emkay-global-financial_.html
,Motilal Oswal,Guj State Petro,GSPL,buy,,355,,,https://m.moneycontrol.com/news/recommendations/buy-gujarat-state-petronet-targetrs-355-motilal-oswal_.html
